Action,Adventure,Animation,Children,Comedy,Crime,Drama,Fantasy,Horror,IMAX,Musical,Mystery,Romance,Sci-Fi,Thriller,War
-,-,-,11.0,22.0,25.0,61.0,-,-,-,-,-,-,-,18.0,-
9.0,7.0,-,-,10.0,-,5.0,-,-,-,-,-,-,6.0,-,-
14.0,-,-,-,9.0,22.0,8.0,-,-,-,-,-,-,-,14.0,-
-,-,-,-,45.0,27.0,72.0,-,-,-,-,-,25.0,-,25.0,-
9.0,10.0,-,-,5.0,-,8.0,-,-,-,-,-,-,-,9.0,-
-,20.0,22.0,18.0,31.0,-,22.0,-,-,-,-,-,-,-,-,-
14.0,-,-,-,13.0,9.0,10.0,-,-,-,-,-,-,-,8.0,-
87.0,85.0,-,-,87.0,-,77.0,-,-,-,-,-,-,-,62.0,-
6.0,-,-,-,12.0,6.0,11.0,-,-,-,-,-,-,-,6.0,-
-,6.0,-,-,9.0,7.0,17.0,-,-,-,-,-,-,-,8.0,-
20.0,-,-,-,34.0,29.0,59.0,-,-,-,-,-,-,-,31.0,-
7.0,-,-,-,7.0,-,8.0,-,-,-,-,-,6.0,-,6.0,-
15.0,-,-,-,15.0,-,16.0,-,-,-,-,-,-,22.0,12.0,-
45.0,-,-,-,108.0,42.0,82.0,-,-,-,-,-,-,-,43.0,-
29.0,-,-,-,48.0,34.0,98.0,-,-,-,-,-,-,-,33.0,-
294.0,190.0,-,-,408.0,-,414.0,-,-,-,-,-,-,-,329.0,-
453.0,-,-,-,397.0,264.0,502.0,-,-,-,-,-,-,-,430.0,-
19.0,15.0,-,-,22.0,-,16.0,-,-,-,-,-,-,-,18.0,-
16.0,-,-,-,14.0,12.0,23.0,-,-,-,-,-,-,-,22.0,-
-,46.0,-,-,216.0,-,158.0,-,-,-,-,-,89.0,-,46.0,-
4.0,-,-,-,17.0,-,13.0,-,-,-,-,-,-,5.0,4.0,-
-,-,-,-,5.0,3.0,23.0,-,-,-,-,-,12.0,-,2.0,-
152.0,-,-,-,120.0,91.0,166.0,-,-,-,-,-,-,-,99.0,-
12.0,13.0,-,-,10.0,-,16.0,-,-,-,-,-,-,10.0,-,-
51.0,-,-,-,56.0,42.0,77.0,-,-,-,-,-,-,-,74.0,-
56.0,32.0,-,-,50.0,-,53.0,-,-,-,-,-,-,-,66.0,-
-,-,-,-,5.0,5.0,14.0,-,-,-,-,-,5.0,-,10.0,-
20.0,18.0,-,-,20.0,-,19.0,-,-,-,-,-,-,-,19.0,-
15.0,19.0,-,-,22.0,-,23.0,-,-,-,-,-,-,18.0,-,-
11.0,9.0,-,-,-,-,12.0,5.0,-,-,-,-,5.0,-,-,-
16.0,-,-,-,30.0,-,42.0,-,-,-,-,-,18.0,20.0,-,-
27.0,20.0,-,-,13.0,-,-,-,-,16.0,-,-,-,18.0,-,-
34.0,-,-,-,31.0,29.0,51.0,-,-,-,-,-,-,-,34.0,-
-,-,-,-,11.0,8.0,17.0,-,-,-,-,-,7.0,-,7.0,-
-,10.0,18.0,14.0,10.0,-,-,7.0,-,-,-,-,-,-,-,-
-,-,-,-,10.0,5.0,12.0,-,-,-,-,-,9.0,-,4.0,-
67.0,61.0,-,-,72.0,-,36.0,-,-,-,-,-,-,40.0,-,-
-,15.0,-,-,22.0,-,24.0,-,-,13.0,-,-,18.0,-,-,-
15.0,12.0,-,-,-,15.0,34.0,-,-,-,-,-,-,-,15.0,-
17.0,16.0,-,-,23.0,17.0,28.0,-,-,-,-,-,-,-,-,-
83.0,66.0,-,-,78.0,-,149.0,-,-,-,-,-,-,-,81.0,-
231.0,164.0,-,-,330.0,-,271.0,-,-,-,-,-,-,-,178.0,-
65.0,64.0,-,-,89.0,-,76.0,-,-,-,-,-,-,-,58.0,-
7.0,-,-,-,7.0,3.0,8.0,-,-,-,-,-,-,-,8.0,-
8.0,6.0,-,-,9.0,-,28.0,-,-,-,-,-,7.0,-,-,-
10.0,-,-,-,18.0,-,17.0,-,-,-,-,-,12.0,-,14.0,-
-,6.0,-,-,16.0,-,22.0,-,-,-,-,-,12.0,-,7.0,-
-,-,-,-,8.0,-,18.0,-,21.0,-,-,12.0,-,-,23.0,-
19.0,14.0,-,-,11.0,-,-,-,-,-,-,-,-,9.0,13.0,-
15.0,13.0,-,-,22.0,-,16.0,-,-,-,-,-,-,-,16.0,-
56.0,70.0,41.0,38.0,-,-,-,-,-,-,-,-,-,49.0,-,-
-,-,-,-,6.0,-,7.0,-,7.0,-,-,9.0,-,-,13.0,-
8.0,6.0,-,-,6.0,3.0,11.0,-,-,-,-,-,-,-,-,-
-,24.0,17.0,21.0,23.0,-,28.0,-,-,-,-,-,-,-,-,-
27.0,-,-,-,31.0,24.0,29.0,-,-,-,-,-,-,-,20.0,-
27.0,-,-,-,45.0,27.0,70.0,-,-,-,-,-,-,-,37.0,-
7.0,9.0,-,-,18.0,-,21.0,-,-,-,-,-,12.0,-,-,-
33.0,-,-,-,42.0,-,37.0,-,-,-,-,-,23.0,-,35.0,-
37.0,30.0,-,-,35.0,-,50.0,-,-,-,-,-,39.0,-,-,-
34.0,25.0,-,-,15.0,-,21.0,-,-,-,-,-,-,16.0,-,-
119.0,-,-,-,149.0,86.0,207.0,-,-,-,-,-,-,-,133.0,-
32.0,34.0,-,-,58.0,-,23.0,-,-,-,-,-,-,-,25.0,-
262.0,194.0,-,-,331.0,-,313.0,-,-,-,-,-,-,-,191.0,-
72.0,58.0,-,-,118.0,-,104.0,-,-,-,-,-,-,-,56.0,-
14.0,-,-,-,15.0,-,18.0,-,-,-,-,-,11.0,-,13.0,-
-,11.0,-,-,25.0,-,36.0,-,-,-,-,-,15.0,23.0,-,-
125.0,103.0,-,-,237.0,-,170.0,-,-,-,-,-,101.0,-,-,-
74.0,65.0,-,-,54.0,-,48.0,-,-,-,-,-,-,70.0,-,-
16.0,12.0,-,-,13.0,12.0,28.0,-,-,-,-,-,-,-,-,-
7.0,-,-,-,8.0,9.0,10.0,-,-,-,-,-,-,-,15.0,-
11.0,12.0,-,-,11.0,-,10.0,-,-,-,-,-,-,-,14.0,-
130.0,-,-,-,130.0,-,133.0,-,-,-,-,-,95.0,-,84.0,-
26.0,-,-,-,-,19.0,35.0,-,-,-,-,-,12.0,-,28.0,-
-,-,-,16.0,23.0,-,19.0,-,-,-,21.0,-,17.0,-,-,-
-,7.0,-,-,45.0,-,34.0,-,-,-,-,-,24.0,6.0,-,-
138.0,95.0,-,-,86.0,-,97.0,-,-,-,-,-,-,-,146.0,-
-,14.0,-,14.0,147.0,-,62.0,-,-,-,-,-,90.0,-,-,-
22.0,-,-,-,42.0,-,79.0,-,-,-,-,-,36.0,-,27.0,-
3.0,3.0,-,-,10.0,3.0,9.0,-,-,-,-,-,-,-,-,-
17.0,16.0,-,-,17.0,-,16.0,-,-,-,-,-,-,-,15.0,-
16.0,36.0,27.0,21.0,-,-,-,18.0,-,-,-,-,-,-,-,-
463.0,-,-,-,471.0,305.0,413.0,-,-,-,-,-,-,-,514.0,-
8.0,-,-,-,8.0,9.0,11.0,-,-,-,-,-,-,-,15.0,-
176.0,-,-,-,162.0,-,215.0,-,-,-,-,-,-,154.0,163.0,-
2.0,-,-,-,5.0,-,19.0,-,-,-,-,-,8.0,-,4.0,-
-,-,-,-,11.0,11.0,25.0,-,-,-,-,-,11.0,-,12.0,-
15.0,21.0,-,12.0,25.0,-,39.0,-,-,-,-,-,-,-,-,-
25.0,17.0,-,-,20.0,-,28.0,-,-,-,-,-,-,-,29.0,-
-,-,-,-,14.0,17.0,36.0,-,-,-,-,-,17.0,-,20.0,-
-,-,-,-,12.0,-,13.0,11.0,-,-,-,-,-,14.0,13.0,-
61.0,65.0,-,-,147.0,-,155.0,-,-,-,-,-,58.0,-,-,-
-,13.0,-,16.0,27.0,-,26.0,-,-,-,-,-,16.0,-,-,-
-,21.0,-,-,53.0,-,90.0,-,-,-,-,-,47.0,-,27.0,-
44.0,-,-,-,59.0,-,108.0,-,-,-,-,-,44.0,-,54.0,-
18.0,22.0,-,-,14.0,-,18.0,-,-,-,-,-,-,12.0,-,-
-,-,-,4.0,16.0,-,9.0,4.0,-,-,-,-,12.0,-,-,-
29.0,18.0,-,-,22.0,-,23.0,-,-,-,-,-,-,-,22.0,-
-,-,22.0,-,25.0,-,35.0,24.0,-,-,-,-,25.0,-,-,-
12.0,-,-,-,16.0,19.0,43.0,-,-,-,-,-,13.0,-,-,-
17.0,18.0,-,-,36.0,-,52.0,-,-,-,-,-,30.0,-,-,-
47.0,-,-,-,64.0,43.0,93.0,-,-,-,-,-,-,-,65.0,-
29.0,-,-,-,29.0,-,33.0,-,-,-,-,-,18.0,-,28.0,-
43.0,-,-,-,50.0,32.0,56.0,-,-,-,-,-,-,-,46.0,-
37.0,-,-,-,91.0,-,103.0,-,-,-,-,-,82.0,-,39.0,-
14.0,13.0,-,-,20.0,-,14.0,-,-,-,-,-,-,-,17.0,-
23.0,16.0,-,-,-,-,7.0,-,-,-,-,-,-,10.0,12.0,-
15.0,13.0,-,-,12.0,-,18.0,-,-,-,-,-,-,-,18.0,-
-,-,-,-,9.0,-,20.0,-,-,-,-,9.0,11.0,-,16.0,-
6.0,-,-,-,21.0,6.0,22.0,-,-,-,-,-,12.0,-,-,-
74.0,80.0,-,81.0,159.0,-,125.0,-,-,-,-,-,-,-,-,-
97.0,54.0,-,-,-,-,35.0,-,-,-,-,-,-,70.0,55.0,-
149.0,74.0,-,-,-,67.0,104.0,-,-,-,-,-,-,-,109.0,-
22.0,27.0,-,-,17.0,-,14.0,12.0,-,-,-,-,-,-,-,-
176.0,-,-,-,162.0,-,489.0,-,-,-,-,-,198.0,-,190.0,-
117.0,76.0,-,-,-,-,82.0,-,-,-,-,-,-,66.0,105.0,-
10.0,8.0,-,-,8.0,-,17.0,-,-,-,-,-,-,-,15.0,-
37.0,-,-,-,-,22.0,58.0,-,22.0,-,-,-,-,-,49.0,-
430.0,-,-,-,312.0,233.0,346.0,-,-,-,-,-,-,-,332.0,-
10.0,13.0,-,7.0,13.0,-,-,-,-,-,-,-,-,-,9.0,-
54.0,-,-,-,35.0,40.0,54.0,-,-,-,-,-,-,-,50.0,-
44.0,-,-,-,37.0,-,103.0,-,-,-,-,-,33.0,-,40.0,-
60.0,49.0,-,-,64.0,-,61.0,-,-,-,-,-,-,-,48.0,-
50.0,33.0,-,-,36.0,-,53.0,-,-,-,-,-,-,-,40.0,-
13.0,-,-,-,20.0,-,32.0,-,-,-,-,-,-,13.0,15.0,-
10.0,12.0,-,9.0,24.0,-,13.0,-,-,-,-,-,-,-,-,-
-,-,-,-,9.0,-,13.0,-,-,-,-,4.0,5.0,-,4.0,-
9.0,-,-,-,14.0,-,24.0,-,12.0,-,-,-,-,-,18.0,-
41.0,43.0,-,-,62.0,-,64.0,-,-,-,-,-,-,-,50.0,-
17.0,20.0,-,-,-,-,21.0,-,-,-,-,-,-,24.0,17.0,-
50.0,60.0,-,-,32.0,-,-,23.0,-,-,-,-,-,28.0,-,-
280.0,-,-,-,301.0,159.0,293.0,-,-,-,-,-,-,-,237.0,-
15.0,11.0,-,-,7.0,-,13.0,-,-,-,-,-,-,-,17.0,-
-,78.0,-,-,234.0,-,300.0,-,-,-,-,-,137.0,-,97.0,-
40.0,53.0,-,-,69.0,-,72.0,30.0,-,-,-,-,-,-,-,-
13.0,13.0,-,-,11.0,7.0,-,-,-,-,-,-,-,-,13.0,-
-,-,-,-,22.0,12.0,27.0,-,-,-,-,-,15.0,-,13.0,-
59.0,62.0,-,-,65.0,-,66.0,-,-,-,-,-,43.0,-,-,-
8.0,-,-,-,7.0,7.0,11.0,-,-,-,-,-,-,-,7.0,-
25.0,12.0,-,-,13.0,-,-,-,-,-,-,-,-,8.0,13.0,-
15.0,10.0,-,-,8.0,-,12.0,-,-,-,-,-,-,-,12.0,-
24.0,23.0,-,-,55.0,-,33.0,-,-,-,-,-,25.0,-,-,-
62.0,-,-,-,119.0,-,128.0,-,-,-,-,-,61.0,-,73.0,-
37.0,-,-,-,-,68.0,165.0,-,-,-,-,45.0,-,-,82.0,-
19.0,-,-,-,19.0,13.0,15.0,-,-,-,-,-,-,-,28.0,-
6.0,-,-,-,12.0,4.0,9.0,-,-,-,-,-,5.0,-,-,-
126.0,-,-,-,291.0,-,406.0,-,-,-,-,-,180.0,-,151.0,-
45.0,42.0,-,-,37.0,-,-,-,-,-,30.0,-,-,64.0,-,-
127.0,-,-,-,163.0,-,234.0,-,-,-,-,-,149.0,-,155.0,-
38.0,37.0,-,-,37.0,-,63.0,-,-,-,-,-,-,-,44.0,-
45.0,38.0,-,-,46.0,-,48.0,-,-,-,-,-,-,-,38.0,-
13.0,9.0,-,-,15.0,-,10.0,-,-,-,-,-,-,-,9.0,-
-,-,-,-,108.0,45.0,150.0,-,-,-,-,-,61.0,-,61.0,-
65.0,58.0,-,-,-,-,-,-,37.0,-,-,-,-,148.0,52.0,-
6.0,-,-,-,5.0,8.0,10.0,-,-,-,-,-,-,-,12.0,-
33.0,-,-,-,80.0,-,59.0,-,-,-,-,-,50.0,-,37.0,-
10.0,-,-,-,19.0,12.0,22.0,-,-,-,-,-,-,-,18.0,-
92.0,-,-,-,85.0,-,117.0,-,-,-,-,-,71.0,-,68.0,-
6.0,-,-,-,7.0,10.0,25.0,-,-,-,-,-,-,-,11.0,-
16.0,-,-,-,30.0,-,28.0,-,-,-,-,-,15.0,-,24.0,-
21.0,19.0,-,-,26.0,-,57.0,-,-,-,-,-,-,-,21.0,-
21.0,-,-,-,39.0,28.0,63.0,-,-,-,-,-,-,-,25.0,-
12.0,9.0,-,-,10.0,-,11.0,-,-,-,-,-,-,-,13.0,-
-,24.0,-,23.0,45.0,-,58.0,-,-,-,-,-,45.0,-,-,-
-,39.0,-,-,53.0,-,59.0,35.0,-,-,-,-,-,-,31.0,-
-,16.0,-,-,34.0,-,105.0,-,-,-,28.0,-,43.0,-,-,-
4.0,-,-,-,5.0,3.0,22.0,-,-,-,-,-,10.0,-,-,-
125.0,120.0,-,-,200.0,-,323.0,-,-,-,-,-,-,-,149.0,-
5.0,-,-,6.0,9.0,-,6.0,5.0,-,-,-,-,-,-,-,-
29.0,29.0,-,-,-,-,8.0,-,-,10.0,-,-,-,22.0,-,-
-,-,-,-,7.0,-,9.0,-,8.0,-,-,-,5.0,-,6.0,-
4.0,-,-,-,4.0,7.0,18.0,-,-,-,-,5.0,-,-,-,-
116.0,111.0,-,-,140.0,-,164.0,-,-,-,-,-,-,-,87.0,-
47.0,24.0,-,-,46.0,-,39.0,-,-,-,-,-,-,-,36.0,-
226.0,182.0,-,-,353.0,-,329.0,-,-,-,-,-,-,-,192.0,-
12.0,-,-,-,7.0,14.0,11.0,-,-,-,-,-,-,-,19.0,-
-,-,-,-,21.0,-,29.0,-,-,-,-,8.0,37.0,-,13.0,-
-,-,-,-,8.0,9.0,47.0,-,-,-,-,-,9.0,-,9.0,-
426.0,306.0,-,-,412.0,-,480.0,-,-,-,-,-,-,-,364.0,-
-,-,-,-,8.0,5.0,15.0,-,-,-,-,-,8.0,-,7.0,-
12.0,15.0,-,-,23.0,-,17.0,-,-,-,-,-,14.0,-,-,-
4.0,-,-,-,10.0,8.0,18.0,-,-,-,-,-,-,-,5.0,-
278.0,160.0,-,-,224.0,-,236.0,-,-,-,-,-,-,-,233.0,-
18.0,11.0,-,-,-,15.0,26.0,-,-,-,-,-,-,-,20.0,-
19.0,18.0,-,-,-,21.0,43.0,-,-,-,-,-,-,-,23.0,-
5.0,6.0,-,-,14.0,-,11.0,-,-,-,-,-,-,5.0,-,-
411.0,288.0,-,-,607.0,-,455.0,-,-,-,-,-,-,-,501.0,-
18.0,-,-,-,15.0,13.0,21.0,-,-,-,-,-,-,-,22.0,-
32.0,28.0,-,-,42.0,-,44.0,-,-,-,-,-,-,-,23.0,-
105.0,-,-,-,207.0,-,220.0,-,-,-,-,-,140.0,-,138.0,-
60.0,46.0,-,-,62.0,-,97.0,-,-,-,-,-,-,-,67.0,-
9.0,-,-,-,9.0,-,6.0,-,4.0,-,-,-,-,-,9.0,-
32.0,-,-,-,53.0,-,129.0,-,-,-,-,-,51.0,-,30.0,-
27.0,21.0,-,-,26.0,-,25.0,-,-,-,-,-,-,-,21.0,-
13.0,9.0,-,-,14.0,-,-,-,-,-,-,-,-,9.0,9.0,-
68.0,-,-,-,41.0,58.0,96.0,-,-,-,-,-,-,-,80.0,-
61.0,54.0,-,-,109.0,-,123.0,-,-,-,-,-,-,-,68.0,-
12.0,10.0,-,-,9.0,7.0,-,-,-,-,-,-,-,-,8.0,-
89.0,-,-,-,300.0,-,277.0,-,-,-,-,-,209.0,-,91.0,-
-,-,-,-,43.0,15.0,53.0,-,-,-,-,-,29.0,-,29.0,-
12.0,-,-,-,16.0,9.0,13.0,-,-,-,-,-,-,-,17.0,-
-,37.0,-,-,48.0,-,47.0,-,-,-,-,-,35.0,30.0,-,-
17.0,10.0,-,-,13.0,-,18.0,-,-,-,-,-,-,9.0,-,-
-,-,-,-,17.0,-,8.0,4.0,-,-,-,-,4.0,4.0,-,-
78.0,84.0,-,-,119.0,-,91.0,74.0,-,-,-,-,-,-,-,-
5.0,8.0,-,-,10.0,-,10.0,-,-,-,-,-,-,6.0,-,-
-,-,-,23.0,-,-,25.0,-,20.0,-,32.0,-,20.0,-,-,-
42.0,-,-,-,33.0,42.0,72.0,-,-,-,-,-,-,-,39.0,-
16.0,-,-,-,15.0,-,30.0,-,-,-,-,-,14.0,12.0,-,-
144.0,144.0,-,-,262.0,-,255.0,-,-,-,-,-,109.0,-,-,-
16.0,7.0,-,-,-,7.0,7.0,-,-,-,-,-,-,-,10.0,-
8.0,4.0,-,-,9.0,-,9.0,-,-,-,-,-,7.0,-,-,-
13.0,11.0,-,-,13.0,12.0,-,-,-,-,-,-,-,-,13.0,-
13.0,-,-,-,13.0,-,27.0,-,-,-,-,-,13.0,-,19.0,-
17.0,-,-,-,21.0,-,33.0,-,-,-,-,-,22.0,-,18.0,-
37.0,-,-,-,35.0,55.0,97.0,-,-,-,-,-,-,-,39.0,-
16.0,17.0,-,-,20.0,-,17.0,-,-,-,-,-,-,-,16.0,-
19.0,-,-,-,21.0,12.0,25.0,-,-,-,-,-,-,-,17.0,-
20.0,15.0,-,-,12.0,-,18.0,-,-,-,-,-,-,-,21.0,-
19.0,10.0,-,-,-,-,8.0,-,-,-,-,-,-,8.0,9.0,-
17.0,13.0,-,-,11.0,-,17.0,-,-,-,-,-,-,-,19.0,-
15.0,-,-,-,31.0,20.0,53.0,-,-,-,-,-,-,-,23.0,-
-,-,-,-,66.0,61.0,195.0,-,-,-,-,-,67.0,-,57.0,-
55.0,29.0,-,-,-,33.0,34.0,-,-,-,-,-,-,-,54.0,-
11.0,-,-,-,10.0,18.0,24.0,-,-,-,-,-,-,-,16.0,-
13.0,12.0,-,-,16.0,-,13.0,-,-,-,-,-,-,-,16.0,-
10.0,17.0,-,13.0,16.0,-,-,-,-,-,-,-,9.0,-,-,-
66.0,32.0,-,-,-,41.0,64.0,-,-,-,-,-,-,-,71.0,-
94.0,43.0,-,-,-,29.0,-,-,-,-,-,-,-,31.0,60.0,-
-,-,-,-,180.0,54.0,172.0,-,-,-,-,-,137.0,-,70.0,-
18.0,-,-,-,20.0,-,21.0,-,-,-,-,-,-,15.0,25.0,-
87.0,48.0,-,-,-,-,87.0,-,-,-,-,-,-,38.0,52.0,-
68.0,58.0,-,-,56.0,-,40.0,-,-,-,-,-,-,47.0,-,-
-,3.0,-,-,9.0,-,12.0,-,-,-,-,-,6.0,-,4.0,-
16.0,-,-,-,21.0,-,19.0,-,-,-,-,-,-,10.0,11.0,-
45.0,20.0,-,-,-,-,18.0,-,-,-,-,-,-,15.0,20.0,-
-,28.0,-,20.0,44.0,-,55.0,-,-,-,-,-,26.0,-,-,-
69.0,45.0,-,-,67.0,-,99.0,-,-,-,-,-,-,-,66.0,-
7.0,8.0,-,-,7.0,-,11.0,-,-,-,-,-,-,-,13.0,-
15.0,10.0,-,-,10.0,-,22.0,-,-,-,-,-,-,-,20.0,-
24.0,20.0,-,-,-,-,17.0,-,28.0,-,-,-,-,-,26.0,-
17.0,13.0,-,-,14.0,-,10.0,-,-,-,-,-,-,-,14.0,-
8.0,5.0,-,-,12.0,-,5.0,-,-,-,-,-,8.0,-,-,-
28.0,27.0,-,-,-,-,25.0,-,-,-,-,-,-,21.0,20.0,-
34.0,23.0,-,-,28.0,-,27.0,-,-,-,-,-,-,-,26.0,-
12.0,-,-,-,25.0,-,19.0,-,12.0,-,-,-,-,-,15.0,-
19.0,14.0,-,-,18.0,-,19.0,-,-,-,-,-,-,-,17.0,-
-,4.0,-,-,9.0,-,12.0,-,-,-,-,-,10.0,-,4.0,-
36.0,-,-,-,41.0,-,57.0,-,-,-,-,-,31.0,-,26.0,-
11.0,9.0,-,-,-,8.0,12.0,-,-,-,-,-,-,-,12.0,-
135.0,95.0,-,-,88.0,-,105.0,-,-,-,-,-,-,-,94.0,-
3.0,4.0,-,-,16.0,-,9.0,-,-,-,-,-,-,5.0,-,-
-,-,-,-,11.0,6.0,21.0,-,-,-,-,7.0,-,-,9.0,-
87.0,59.0,-,-,112.0,-,80.0,-,-,-,-,-,-,-,64.0,-
41.0,30.0,-,-,54.0,-,21.0,-,-,-,-,-,-,23.0,-,-
21.0,19.0,-,-,13.0,-,24.0,11.0,-,-,-,-,-,-,-,-
6.0,-,-,-,10.0,7.0,13.0,-,-,-,-,-,-,-,10.0,-
-,-,-,-,168.0,83.0,270.0,-,-,-,-,-,106.0,-,114.0,-
10.0,-,-,-,15.0,13.0,28.0,-,-,-,-,-,-,-,11.0,-
16.0,14.0,-,-,-,-,18.0,-,-,-,-,-,-,41.0,11.0,-
22.0,25.0,23.0,19.0,29.0,-,-,-,-,-,-,-,-,-,-,-
5.0,-,-,-,4.0,9.0,14.0,-,-,-,-,-,-,-,10.0,-
134.0,73.0,-,-,67.0,-,95.0,-,-,-,-,-,-,-,110.0,-
119.0,69.0,-,-,-,-,73.0,-,-,-,-,-,-,70.0,82.0,-
309.0,-,-,-,464.0,-,720.0,-,-,-,-,-,261.0,-,350.0,-
19.0,16.0,-,-,35.0,-,26.0,-,-,-,-,-,-,-,26.0,-
12.0,13.0,-,-,19.0,-,21.0,-,-,-,-,-,10.0,-,-,-
6.0,5.0,-,-,12.0,-,-,-,-,-,-,-,7.0,5.0,-,-
70.0,50.0,-,-,-,-,37.0,-,-,-,-,-,-,43.0,30.0,-
117.0,132.0,-,-,-,-,146.0,-,-,-,-,-,-,87.0,80.0,-
-,-,-,-,12.0,10.0,16.0,-,-,-,-,-,7.0,-,8.0,-
10.0,5.0,-,-,9.0,-,15.0,-,-,-,-,-,-,-,10.0,-
10.0,-,-,-,13.0,-,23.0,-,-,-,-,-,10.0,-,17.0,-
42.0,32.0,-,-,45.0,28.0,-,-,-,-,-,-,-,-,53.0,-
24.0,-,-,-,24.0,12.0,15.0,-,-,-,-,-,-,-,22.0,-
11.0,-,-,-,11.0,-,22.0,-,-,-,-,-,12.0,-,13.0,-
-,19.0,-,-,34.0,19.0,71.0,-,-,-,-,-,27.0,-,-,-
-,5.0,-,-,7.0,7.0,15.0,-,-,-,-,-,6.0,-,-,-
-,-,-,-,7.0,-,14.0,-,-,-,-,4.0,6.0,-,7.0,-
30.0,30.0,-,-,42.0,-,38.0,-,-,-,-,-,-,-,35.0,-
40.0,-,-,-,36.0,-,62.0,-,-,-,-,-,33.0,-,39.0,-
14.0,19.0,-,-,17.0,-,14.0,-,-,-,-,-,-,13.0,-,-
86.0,72.0,-,-,93.0,-,75.0,-,-,-,-,-,-,-,66.0,-
11.0,-,-,-,28.0,8.0,-,-,-,-,-,-,8.0,-,8.0,-
